Cod_ID,NOME_UDH,CODMUN6,NOME_MUN,ANO,IDHM,CleanEnergy,Mobility,AirQuality,Economy,Employment,Housing,Education,Healthcare
1355030816022,Do Areião,355030,São Paulo (SP),2010,0.733,10.0,8.5099846390169,9.519248480383128,2.1592316422484816,6.1199714353725305,4.020181063749529,6.0482654600301675,5.0
1355030816023,Do Mocó,355030,São Paulo (SP),2010,0.661,10.0,2.5729646697388597,8.26763676551851,2.0672923561833305,4.465603427755296,8.497736703130894,3.5595776772247367,4.204545454545457
1355030816024,Sambra,355030,São Paulo (SP),2010,0.683,10.0,7.596006144393243,9.365444833302636,1.7354616485455157,7.010235658176623,9.376650320633722,4.766214177978884,3.750000000000001
1355030816025,Jaguaré : Conjunto Habitacional / Nova Jaguaré I,355030,São Paulo (SP),2010,0.683,10.0,7.596006144393243,9.365444833302636,1.7354616485455157,7.010235658176623,9.376650320633722,4.766214177978884,3.750000000000001
1355030816026,Jaguaré : Conjunto Habitacional / Nova Jaguaré II,355030,São Paulo (SP),2010,0.715,8.8843813387424,5.061443932411668,9.575428255664026,1.9815590314661826,7.038800285646275,9.580347038853263,5.610859728506789,4.621212121212121
1355030816027,jaguaré : Conjunto Cingapura do Jaguaré,355030,São Paulo (SP),2010,0.683,10.0,7.596006144393243,9.365444833302636,1.7354616485455157,7.010235658176623,9.362504715201812,4.766214177978884,3.750000000000001
1355030816028,Nova Jaguaré,355030,São Paulo (SP),2010,0.921,10.0,10.0,10.0,6.360092318517713,8.036181861461557,10.0,8.838612368024133,9.015151515151517
1355030816029,Vila Jaguara : Cemitério Publico Parque Gethsemani Anhanguera,355030,São Paulo (SP),2010,0.756,10.0,8.824884792626728,9.435439307423099,2.60711990989142,7.869554867888597,9.459637872500942,6.2745098039215685,5.984848484848483
1355030816030,Parque Continental : Conjunto Habitacional Parque Continental /Rua Sábia Branco,355030,São Paulo (SP),2010,0.715,8.8843813387424,5.061443932411668,9.575428255664026,1.9815590314661826,7.038800285646275,9.533195020746888,5.610859728506789,4.621212121212121
1355030816031,Nossa Senhora Gertrudes,355030,São Paulo (SP),2010,0.733,10.0,8.5099846390169,9.519248480383128,2.1592316422484816,6.1199714353725305,9.507732930969446,6.0482654600301675,5.0
1355030816032,Jaguaré,355030,São Paulo (SP),2010,0.875,10.0,9.900153609831033,9.746730521274635,5.445415497639416,7.569626279457273,9.730290456431534,7.8129713423831095,8.636363636363638
1355030817001,Guarapiranga : Escola Estadual Professor Antonio Bernardes de Oliveira / Escola Estadual João de Deus Cardoso de Mello / Escola Estadual Antonio Aggio / Escola Estadual Professor Elyo Ferreira de Castro,355030,São Paulo (SP),2010,0.708,10.0,6.436251920122887,9.694234665684288,1.8937579102712212,7.13401571054511,9.677480196152397,5.444947209653094,4.507575757575759
1355030817002,Centro Empresarial : Escola Municipal de Primeiro Grau Bacharel Mario Moura de Albuquerque / Escola Municipal de Ensino Fundamental Anna Silveira Pedreira,355030,São Paulo (SP),2010,0.734,10.0,9.185867895545313,9.897771228587215,2.400407018356608,8.407522018567008,9.884006035458317,5.746606334841631,5.378787878787879
1355030817003,Centro Empresarial : Hospital do Servidor Publico Municipal,355030,São Paulo (SP),2010,0.773,10.0,9.23195084485407,9.825934794621478,2.9376481247029735,7.871935253511069,9.814221048660883,6.410256410256411,6.780303030303031
1355030817004,Jardim Ângela : Escola Estadual Rosa Pavone Pimont Doutora / Escola Estadual Professora Eulalia Silva,355030,São Paulo (SP),2010,0.756,10.0,8.824884792626728,9.435439307423099,2.60711990989142,7.869554867888597,9.458694832138814,6.2745098039215685,5.984848484848483
1355030817005,Jardim Ângela : Escola Estadual Oswald de Andrade,355030,São Paulo (SP),2010,0.713,10.0,6.298003072196625,9.637133910480753,1.9225794317604672,7.807664841704357,9.618068653338362,5.595776772247362,4.507575757575759
1355030817006,Jardim São Luis : Shopping Campo Limpo,355030,São Paulo (SP),2010,0.773,10.0,9.23195084485407,9.825934794621478,2.9376481247029735,7.871935253511069,9.812334967936627,6.410256410256411,6.780303030303031
1355030817007,Jardim Capela,355030,São Paulo (SP),2010,0.661,9.73630831643003,4.877112135176648,9.801989316632897,1.3608085696159808,6.755534396572246,9.831195775179175,4.69079939668175,2.2727272727272725
1355030817008,Jardim Capela : Parque do Lago,355030,São Paulo (SP),2010,0.665,9.85801217038541,5.184331797235025,9.710812304291768,1.5061190545889103,6.572244703641992,9.53602414183327,4.600301659125189,2.7272727272727275
1355030817009,Jardim Capela : Escola Estadual Professora Amelia Kerr Nogueira,355030,São Paulo (SP),2010,0.625,10.0,0.0,8.487750967028918,1.2241678907611198,5.486788859795288,7.864013579781214,3.514328808446457,1.9318181818181845
1355030817010,Riviera,355030,São Paulo (SP),2010,0.69,9.75659229208924,5.015360983102921,8.802726100571007,1.623256777795129,7.781480599857177,8.702376461712563,5.263951734539971,3.4848484848484853
1355030817011,M'Boi Mirim : Escola Estadual Dona Maria do Carmo Campos Ferreira / Escola Estadual Margarida Maria Alves / Escola Estadual Jose Lins do Rego / Escola Estadual Jose Raul Poletto,355030,São Paulo (SP),2010,0.68,10.0,5.837173579109061,9.713575244059678,1.8391493628647595,7.786241371102119,9.708600528102602,4.4343891402714934,4.280303030303034
1355030817012,M'Boi Mirim : Escola Estadual Jose Porphyrio da Paz / Escola Estadual Manoel Tabacow Hidal Professor / Escola Estadual Parque Novo Santo Amaro II,355030,São Paulo (SP),2010,0.667,10.0,3.8632872503840265,9.677657027076808,1.4750489571679517,7.193525351106881,9.257827235005658,4.720965309200603,2.575757575757574
1355030817013,Jardim Capela / M'Boi Mirim : Rua Vasco da Gama / Rua Augusto Avelino de Morais,355030,São Paulo (SP),2010,0.703,10.0,7.95698924731183,9.567139436360288,1.9729694316023285,6.205665317781481,9.541682384006034,5.279034690799397,4.12878787878788
1355030817014,Centro Empresarial : Cemitério Municipal Sao Luis,355030,São Paulo (SP),2010,0.713,10.0,6.298003072196625,9.637133910480753,1.9225794317604672,7.807664841704357,9.58129007921539,5.595776772247362,4.507575757575759
1355030817015,Jardim Ângela / M'Boi Mirim : Rua Antônio de Araujo,355030,São Paulo (SP),2010,0.703,10.0,7.95698924731183,9.567139436360288,1.9729694316023285,6.205665317781481,9.556771029800077,5.279034690799397,4.12878787878788
1355030817016,Guarapiranga : Rua Antônio Raposo Barreto / Rua João Scalão,355030,São Paulo (SP),2010,0.665,9.85801217038541,5.184331797235025,9.710812304291768,1.5061190545889103,6.572244703641992,9.654847227461335,4.600301659125189,2.7272727272727275
